__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
LG/42.6,http://ur.iaas.upenn.edu/location/686/,LG/42.6,Larsa Grave 42.6,Chapel,,,Not recorded.,,
LG/42.7,http://ur.iaas.upenn.edu/location/687/,LG/42.7,Larsa Grave 42.7,Chapel,,,Not recorded.,,
Room 6,http://ur.iaas.upenn.edu/location/463/,Room 6,Room 6,"Room 6 had a clay floor laid over a rough foundation of burnt brick; the walls were a patchwork, with straight joints in the NE and SE walls but the corners bonded; the SE wall had been rebuilt on the old foundations, the new work starting at 1.20 m. above floor level and projecting beyond the face of the old.",,,,,
Room 7,http://ur.iaas.upenn.edu/location/464/,Room 7,Room 7,"Room 7, with a clay floor, had originally had a door opening directly on Baker's Square, but this had been walled up while the level of the Square was still what it is at present - the new wall rested on the old threshold which had never had to be raised.",,,,,
No. 1b Baker's Square,http://ur.iaas.upenn.edu/location/998/,No. 1b Baker's Square,No. 1b Baker's Square,"North of 1 Baker's square; The approach to the house, which lay on the edge of the area excavated by us, was not found, but there was a narrow alley leading to the front door. The house, built fairly early in the Larsa period, was during that period completely re-modelled and turned into a factory or workshop. At this time the floor was raised by about 1.00 m., and the stumps of the old walls were left below the new floor level and new walls were built with shallow foundations or carried along the old lines with different material, with the result that the alterations could be followed by us more or less in detail.",,,,,
LG/43 | AHG/182,http://ur.iaas.upenn.edu/location/801/,LG/43 | AHG/182,Larsa Grave 43,,AH Grave 182,,Pot burial,"51a, 71,120a, (miniature);
frags. of a brown burnished bowl",Disturbed
LG/43.5,http://ur.iaas.upenn.edu/location/802/,LG/43.5,Larsa Grave 43.5,,,,Larnax,,
LG/43.6,http://ur.iaas.upenn.edu/location/803/,LG/43.6,Larsa Grave 43.6,,,,Larnax,,
LG/43.7,http://ur.iaas.upenn.edu/location/804/,LG/43.7,Larsa Grave 43.7,,,,Larnax,,
Room 1,http://ur.iaas.upenn.edu/location/465/,Room 1,Room 1,"Court; In the original house a narrow passage rather than a lobby-room led into a large courtyard (Room 1) all trace of whose paving, if it was paved, had disappeared; out of this, rooms opened on three sides.",,,,,
Room 2,http://ur.iaas.upenn.edu/location/466/,Room 2,Room 2,"Guest Room; On the SE side a door led into the guest-room (2), which was brick-paved and had a drain at the NE end; communicating with it on the NE was a little room which, in spite of its position, was probably not the lavatory, seeing that it had no pavement and no drain; below it were three infant burials (AHG/171-3). Through the guest-room one passed to the chapel which occupied the SE end of the site. The chapel was paved with bricks 0.26 m. X 0.17 m.; against its NE wall were the remains of a long brick altar 0.60 m. wide which showed signs of having been repaired; in the north corner was a brick 'table' 0.60 m. sq. of which eleven courses of brick survived. On the pavement were clay vases of Types IL.lOc. and IL.71; under it were larnax burials LG/44, 45 and 46, and let into the pavement in front of the altar was the pot burial of an infant.",,,,,
LG/45.7 | AHG/251,http://ur.iaas.upenn.edu/location/688/,LG/45.7 | AHG/251,Larsa Grave 45.7,"Analysis suggests that this grave is
associated with a LP occupation.",AH Grave 251,,Double pot burial,"t. 11a, inside.",Infant double pot burial.
Room 3,http://ur.iaas.upenn.edu/location/467/,Room 3,Room 3,"Room 3 (itself probably formed out of two old rooms). The NW and SW walls of this room were also rebuilt with mud brick on the old burnt-brick foundations, but in them were contrived three stoke-holes with their passage-sides of burnt brick (P1. 50b); these stoke-holes were roofed with true arches in mud brick (thirteen bricks to a span of 0.70 m. or, in the case of that in the NW wall, 0.78 m.) with vertical sides 0.27 m. high and a height from base to soffit of 0.50 m. In each case, after a period of use, the base had been raised by a layer of broken burnt brick and fire-clay laid over the old ashes, probably at a time when the kilns were repaired. In Room 3, roughly corresponding to the central stoke-hole, was a 1.00 m. square basin let into the floor, paved with bricks and bordered with bricks set on edge (bricks 0.27 m. X 0.18 m. X 0.07 m.); in and by this was a quantity of lime (?). Room 3 had served as a stoke-room for the furnaces, which were in Rooms 4 and 1 (P1. 50a).",,,,,
Room 4,http://ur.iaas.upenn.edu/location/468/,Room 4,Room 4,"Room 4 was virtually the same as in the previous period except of course
that its SE wall, containing the stoke-hole, had been completely rebuilt, and the floors of
both rooms had been raised by c. 0.80 m. The furnaces were constructed on brick bases
sunk in the new floor level; they were circular (diam. 0.93-0.98 m.) and were built of
bricks set in and plastered with clay; the bricks may have been mud bricks only, but they
were now thoroughly burned. The floor of the furnace was also of bricks and clay and rose
in the centre; the passage from the stoke-hole was not flush with the furnace floor but raised
some 0.20 m. above it; the floors had been re-made several times and had risen by as much
as 0.30 m., below each floor being the ashes of former burnings; the walls had been
destroyed, but those of the furnace in Room 4 were still standing to 0.50 m.; the floor of
the central furnace was thickly covered with a fine white ash.",,,,,
LG/45.6 | AHG/181,http://ur.iaas.upenn.edu/location/689/,LG/45.6 | AHG/181,Larsa Grave 45.6,"Analysis indicates that this grave is associated with the ""later"" phase of a two- phase occupational sequence.",AH Grave 181,,Inhumation,"t. 51a, outside","Inhumation; flexed, on left side"
Room 5,http://ur.iaas.upenn.edu/location/553/,Room 5,Room 5,,House XVIII,,,,
LG/45 | AHG/212,http://ur.iaas.upenn.edu/location/765/,LG/45 | AHG/212,Larsa Grave 45,,AH Grave 212,,Larnax A,"llb, 48, 57c (with red haematite wash), 69a (two), 72a, 114","Body flexed, on rt. side, head NE. Head resting on a round brick. Con-
temporary with LG/44."
Room 6,http://ur.iaas.upenn.edu/location/554/,Room 6,Room 6,,House XVIII,,,,
LG/44 | AHG/211,http://ur.iaas.upenn.edu/location/897/,LG/44 | AHG/211,Larsa Grave 44,"Chapel. Analysis indicates that LG/44 is
associated with the ""early"" phase of a two phase occupational sequence; several other graves in structure, including LG/45 and LG/46, can be linked to the ""early"" phase.",AH Grave 211,,Larnax B,"llb, 48, 57c (with red haematite wash), 69a (two), 72a, 114.",Body with head SW. Head resting on burnt brick 0.255m x 0.205m x 0.07m. With the tools were bird's bones.
LG/44.5 | AHG/171,http://ur.iaas.upenn.edu/location/1171/,LG/44.5 | AHG/171,Larsa Grave 44.5,,AH Grave 171,,Double Pot Burial,,Infant
LG/44.6 | AHG/172,http://ur.iaas.upenn.edu/location/1172/,LG/44.6 | AHG/172,Larsa Grave 44.6,,AH Grave 172,,Double Pot,,Infant
LG/44.7 | AHG/173,http://ur.iaas.upenn.edu/location/1173/,LG/44.7 | AHG/173,Larsa Grave 44.7,,AH Grave 173,,Double Pot,,Infant
LG/45.5 | AHG/174,http://ur.iaas.upenn.edu/location/899/,LG/45.5 | AHG/174,Larsa Grave 45.5,,AH Grave 174,,Double pot burial,,Infant double pot burial in pot type 33
LG/46 | AHG/213,http://ur.iaas.upenn.edu/location/898/,LG/46 | AHG/213,Larsa Grave 46,Chapel.,AH Grave 213,,Larnax A,"5b, 48, 72a, 125.","Body with head NE. 
Head resting on a burnt brick."
Bazaar Alley,http://ur.iaas.upenn.edu/location/999/,Bazaar Alley,Bazaar Alley,"Located to the western edge of AH, off of Paternoster Row.; From Paternoster Row a flight of brick steps took one to the higher street level of a narrow alley which turning to the right passed the secondary entrance of No. 14 Paternoster Row and so between blank walls to another right-angled turn to the NW. Here there were on the right hand side two buildings closely resembling No. 12 Paternoster Row, with narrow frontages and deep rooms behind, each divided by cross-walls into three compartments (allowing for the destruction of one wall in No. 1), probably shops with magazines behind. A doorway across the alley was followed by another turn to the NE; in the angle was the entrance to a third long narrow building which may have been of a similar nature to the other two but looked more like a converted chapel. Another door closed the alley which beyond it emerged into a square room part of which may well have been occupied by a coster's stall, for along the NE wall, clear of the thoroughfare, there lay on the ground two large clay pots, Type IL. 61, a number of rough pounders and rubbing-stones and a limestone palette c. 0.25 m. sq. A door in the NW wall led out to Baker's Square, a somewhat narrow door cut through the brickwork at a late period when the level of the Square was already beginning to rise. The original floor of the room (which was flush with the contemporary level of the Square) came well up against the mud brickwork of its walls, hiding the burnt-brick foundations; when the levels inside and out had risen by nearly 0.90 m. an L-shaped wall or screen was built against the outer wall of the room to mask the entrance of the alley.",,,,,
No. 1 Bazaar Alley,http://ur.iaas.upenn.edu/location/1000/,No. 1 Bazaar Alley,No. 1 Bazaar Alley,,,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/450/,Room 1,Room 1,"A door with raised threshold led into a long narrow room (1) which had perhaps been divided into two by a cross-wall of mud bricks, but this had disappeared and only a burnt-brick door-jamb projected from the SE wall to suggest its existence. Near the north corner there was in the SW wall a door to No. 2 which had been blocked up. The floor was of earth. The SE wall (2.70 m. high) had been breached, a great hole having been cut through the burnt brickwork of its lower part, but the mud brickwork above ran on unbroken and the breach was probably due merely to later burrowers after treasure.",,,,,
Room 2,http://ur.iaas.upenn.edu/location/451/,Room 2,Room 2,"Room 2, earth-floored, had had a door to the chapel (Room 5) of No. 4 Paternoster Row, but this had been blocked with a wall which showed mud brick on this side and a burnt-brick face on the side of the chapel.",,,,,
No. 2 Bazaar Alley,http://ur.iaas.upenn.edu/location/1001/,No. 2 Bazaar Alley,No. 2 Bazaar Alley,Most of the front wall had been destroyed; it had been of mud brick and had a door with raised threshold near the south corner.,,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/452/,Room 1,Room 1,"This led into Room 1, which was brick-paved; later the floor was raised by 0.80 m. and a brick base (?) was built against the SE wall; still later the room was enlarged by pulling down the original back NE wall of mud brick over burnt brick foundations and replacing it by a new mud-brick wall further to the NE (on the plan the older wall is shown in outline only).",,,,,
Room 2,http://ur.iaas.upenn.edu/location/453/,Room 2,Room 2,Room 2 had an earth floor; in the SE wall was a blocked door to No. 1.,,,,,
Room 3,http://ur.iaas.upenn.edu/location/454/,Room 3,Room 3,"Room 3 was also earth-floored; the wall dividing it from Room 2
had been much destroyed by a late drain; the SE wall was built abutting on a shallow buttress or jamb projecting from the chapel wall of No. 4 Paternoster Row, but owing to rebuilding the evidence of date was difficult to follow (Fig. 42); the buttress belonged only to a late phase of the chapel wall, but the wall of the Bazaar Alley building while only abutting on it yet went below it and abutted equally on the face of the older section of the chapel wall where there was no buttress and itself seemed to be all of one date. Perhaps it only means that the builders of the Bazaar building were unusually careful about their foundations and dug below the reconstruction-level of the chapel and fitted their new work to whatever they found there.",,,,,
No. 3 Bazaar Alley,http://ur.iaas.upenn.edu/location/1002/,No. 3 Bazaar Alley,No. 3 Bazaar Alley,,,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/456/,Room 1,Room 1,"Chapel?; A raised threshold in the doorway led to a long narrow room (1), earth-floored, with larnax burials below the floor; in the north corner was a pedestal of burnt brick 0.60 m. sq. and standing 0.60 m. high which looked as if it might have been a ""table"" and gave the room the air of a domestic chapel. The NW wall had ten courses of burnt bricks, the SW wall five courses only, but with its mud brick was standing to 3.40 m. A",,,,,
LG/20.5,http://ur.iaas.upenn.edu/location/680/,LG/20.5,Larsa Grave 20.5,,,,Not Recorded,,
LG/20.6,http://ur.iaas.upenn.edu/location/681/,LG/20.6,Larsa Grave 20.6,,,,Not Recorded,,
Room 2,http://ur.iaas.upenn.edu/location/457/,Room 2,Room 2,"A door in the NE wall led to Room 2, a very small earth-floored room presenting no features of interest.",,,,,
Boundary Street,http://ur.iaas.upenn.edu/location/1003/,Boundary Street,Boundary Street,,,Isin-Larsa,,,
No. 1 Boundary Street,http://ur.iaas.upenn.edu/location/63/,No. 1 Boundary Street,No. 1 Boundary Street,"This was a large and important house at the corner of Boundary Street and Niche Lane,opening on the former. The outer walls had from fourteen to twenty courses of burnt brick showing above pavement level, the inner and back walls had only a damp-course of from two to five courses; the building was well preserved except on the NE where it had suffered denudation by being on the line of a wadi cut by the water from the higher ground to the SW. There were two doors opening on the street very close to one another; the second (No. 3) was probably a shop attached to the dwelling-house.",,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/226/,Room 1,Room 1,"Entrance Lobby; Room 1, the entrance-lobby, had an original threshold just above street level, a second 0.50 m. higher and a third 0.50 m. higher still; the floor was paved with bricks 0.25 m. X 0.16 m. except for a patch in the south corner where there may have been a mud bench. The NE wall was only 0.60 m. high, the SW wall 1.20 m.",,,,,
Room 10,http://ur.iaas.upenn.edu/location/235/,Room 10,Room 10,"Lavatory; At the NW end a central door led into Room 10, a small lavatory with brick pavement and a drain in the middle.",,,,,
Room 11,http://ur.iaas.upenn.edu/location/236/,Room 11,Room 11,"Chapel; Room 11 was paved with bricks 0.25 m. X 0.17 m., many missing; against the SE door-jamb was the brick hinge-socket for the door; in the south corner was the hinge-socket for the door to Room 12. At the NW end was the altar and in each of the north west corners was a decorated ""table"". The altar (PI. 43b and Fig. 36) was of burnt brick; it was 3.20 m. long, running right up into the north corner, and 1.00 m. wide; the front had been partly destroyed but at the back it stood to its full height of 0.32 m., and at the SW end rose by an extra course to 0.35 m.",,,,,
LG/46.6 | AHG/177,http://ur.iaas.upenn.edu/location/629/,LG/46.6 | AHG/177,Larsa Grave 46.6,Double bowl burial immediately below pavement of two-pillar chapel.,AH Grave 177,,Double pot burial,Type IX outside grave,Confused bones of very young children (4 skulls).
Room 12,http://ur.iaas.upenn.edu/location/237/,Room 12,Room 12,"Room 12 had a clay floor. In the SW wall was a doorway whose threshold, originally at the level of the chapel pavement, had been raised first by 0.55 m., then to 1.05 m., and finally the door had been walled up. At 2.00 m. below the wall foundations was a drain which had no connection with the house.",,,,,
Room 2,http://ur.iaas.upenn.edu/location/227/,Room 2,Room 2,"Central Court; The room was prolonged into a
passage which led to the door of Room 2, the central court, brick-paved with central drain, the walls preserved up to 1.80 m. and the SW wall showing traces of whitewash.",,,,,
Room 3,http://ur.iaas.upenn.edu/location/228/,Room 3,Room 3,"A door in the north corner communicated with Room 3, at the NE end of which was the second door on the street. In the north corner was a pedestal of burnt brick and in the east corner an L-shaped bench, 0.45 m. wide against the NE wall and 0.65 m. wide against the SE wall, built of three courses of burnt brick with mud brick above; its original height was doubtful, its top having been weathered away flush with the existing top of the wall (c. 0.60 m.), butit was probably not very high and seems to have been in the nature of a counter for the display of goods. In the SE wall the high burnt brickwork of the outer wall ran back only for 1.00 m. and was then bonded into mud brick with four cour;es of burnt brick below.  The floor was of clay. In the SW wall an old doorway had been walled up.",,,,,
Room 4,http://ur.iaas.upenn.edu/location/229/,Room 4,Room 4,Room 4 was brick-paved.,,,,,
Room 5,http://ur.iaas.upenn.edu/location/230/,Room 5,Room 5,"Room 5 was probably only a large cupboard opening off the passage which led from the central court to Room 6,",,,,,
Room 6,http://ur.iaas.upenn.edu/location/231/,Room 6,Room 6,"Kitchen; Room 6, the kitchen. The floor of Room 6 was brick-paved; against the SE wall was a circular brick fire-place, diam. 1.00 m., in front of which was a flat hearth; in the east corner rose a solid brick cooking-range and in the south corner was a clay bread-oven diam. 0.65 m.",,,,,
Room 7,http://ur.iaas.upenn.edu/location/232/,Room 7,Room 7,"Room 7, a quite large room, was most unusual in that it combined the functions of staircase and lavatory. There had been a doorway to the alley through the SE wall, but this had been bricked up at an early date. The lower flight of steps was against the SE wall and started from the NE jamb of the blocked doorway; the second, third and part of the fifth treads were left; the stairs, resting on solid packing, continued to a point 0.70 m. from the east corner of the room, where the packing (retained, necessarily, by a screen wall, as in
other cases) ended and in the east corner was a paved recess with a lavatory drain. The stairway, 0.70 m. wide, must have returned and run against the NE wall of the room, constructed in wood, and probably continued along the SW side to issue at a door above
that of the room opening on the court. The rest of the room was paved with brick. Had not the steps been preserved we should not, from the character of the room, have deduced their former existence; the evidence forthcoming in this case may explain the apparent absence of stairs in some other houses.",,,,,
Room 8,http://ur.iaas.upenn.edu/location/233/,Room 8,Room 8,"Room 8 was once paved (pavement left only in the east corner); by the door was a large brick-lined hinge-box, an unusual feature testifying to the importance of the room. Beneath the floor was a large tomb with a barrel vault built of bricks laid on edge.",,,,,
LG/46.5,http://ur.iaas.upenn.edu/location/628/,LG/46.5,Larsa Grave 46.5,,,,Vaulted Tomb,,
Room 9,http://ur.iaas.upenn.edu/location/234/,Room 9,Room 9,"Guest Room; Room 9, the guest-chamber, was of the usual long and narrow shape with an abnormally thick NE wall and very wide entrance-door; the floor was paved, the paving preserved only at the SE end. On the floor was found the remarkable dagger U.17385, pl. 98, v. p. 184.1 The walls, with six courses of burnt brick, were standing to a height of 3.10 m.",,,,,
Broad Street,http://ur.iaas.upenn.edu/location/1004/,Broad Street,Broad Street,East side of AH off of Carfax square.,,,,,
No. 1 Broad Street,http://ur.iaas.upenn.edu/location/64/,No. 1 Broad Street,No. 1 Broad Street,"The house occupied the corner site between Store Street and Broad Street and fronted on the latter, its main entrance giving on to the open space of Carfax. It had arrived at its present form as the result of a good deal of re-modelling, but in its original lay-out was of quite normal type except for the fact that, owing to considerations of space, there were no chambers on the north side of its courtyard. The house was well-built and it would seem that after its destruction fragments of its walls were still left standing above the debris and were incorporated in a later building, for remains of walls whose foundations were 1.40 m. above the floor ran parallel to the old walls and seemed to join up with their upper parts.",School House,Isin-Larsa,,,
Room 1,http://ur.iaas.upenn.edu/location/344/,Room 1,Room 1,"Entrance Lobby; The front door, with a raised threshold, led into Room 1 which was brick-paved, the pavement being two steps below street level; a door on the left had led into Room 2, but was later blocked, a door facing the entrance led into Room 6.",,,,,
Room 2,http://ur.iaas.upenn.edu/location/345/,Room 2,Room 2,"Central Court; Room 2, the courtyard, was brick-paved and had a central drain; in its north wall was a doorway to Broad Street having between its jambs four shallow steps leading down from street level; the doorway appeared to be original but the wall was too damaged for the point to be certain.",,,,,
Room 3,http://ur.iaas.upenn.edu/location/346/,Room 3,Room 3,"In the east wall, which was almost entirely destroyed, was the door of the reception-room, (4), which was a brick-paved room in such ruinous state that the existence of the cross-wall between it and Room 3 is conjectural, though the presence of a drain in the NW corner of the latter made the separation probable.",,,,,
Room 4,http://ur.iaas.upenn.edu/location/347/,Room 4,Room 4,"In the east wall, which was almost entirely destroyed, was the door of the reception-room, (4), which was a brick-paved room in such ruinous state that the existence of the cross-wall between it and Room 3 is conjectural, though the presence of a drain in the NW corner of the latter made the separation probable.",,,,,
LG/80.6 | AHG/316,http://ur.iaas.upenn.edu/location/914/,LG/80.6 | AHG/316,Larsa Grave 80.6,,AH Grave 316,,Inhumation,"t. 41c, inside.",
LG/80.7 | AHG/316A,http://ur.iaas.upenn.edu/location/915/,LG/80.7 | AHG/316A,Larsa Grave 80.7,,AH Grave 316A,,,,
Room 5,http://ur.iaas.upenn.edu/location/348/,Room 5,Room 5,"Lavatory; Room 5 was a lavatory with brick-paved floor and drain; the screen
separating it from the stair-chamber (the upper part of the flight had as usual run over the lavatory) was now broken down. A door from the court to the staircase had been walled up. Room 6, opening off the entrance-lobby (1) had a door to the central court which had been walled up and a second door in the same east wall giving on the staircase; the stairs did not start, as was usual, in the door entrance but further back, between the east jambs of two other doors which gave on the court and on the chapel respectively; the treads had gone and only part of the brick rubble filling on which they had rested remained. Since the space left for the stair-flight was reduced by the need to leave the side doors open, the threshold of the door from Room 6 was raised 0.10 m. and at the back of the entrance was a second step 0.25 m. high to the level of the paved floor at the stairs' foot; even so the gradient would have to be somewhat steep (the back of the filling stood to 1.75 m.) and there were probably steps in the thickness of the door above that between the lavatory and the court.",,,,,
Room 6,http://ur.iaas.upenn.edu/location/349/,Room 6,Room 6,"Room 6 was well preserved, with brick pavement and walls having sixteen or seventeen courses of burnt brick which, together with the mud brick above, gave a maximum height of 2.10 m. In the south wall was a door to Room 7 and against its west jamb was an impost of bricks set on end for the door hinge.",,,,,
