__Title__,__URL__,Season Number,Full Name,Involvement with Ur,Date of Birth,Date of Death,Time of Involvement with Ur,Biography,Short Bio
Abd es Salaam,http://www.ur-online.org/personorg/58/,02: 1923-1924,Abd es Salaam,Foreman
Cyril John Gadd,http://www.ur-online.org/personorg/30/,02: 1923-1924,Cyril John Gadd,Epigrapher and Supervisor,1893,1969,1923-1924,Keeper of Egyptian and Assyrian Antiquities (British Museum; after 1948); Emeritus Professor of Ancient Semitic Languages and Civilizations at the University of London.
Cyrus Herzl Gordon,http://www.ur-online.org/personorg/41/,,Cyrus Herzl Gordon,Epigrapher,"June 29, 1908","March 30, 2001",1931-32,
Emory McMichaels,http://www.ur-online.org/personorg/48/,,Emory McMichaels,Vice President of the Board of Managers of the University Museum,,,,
Eric R. Burrows,http://www.ur-online.org/personorg/36/,05: 1926-1927; 06: 1927-1928; 07: 1928-1929,Eric R. Burrows,Epigrapher,1882,"June 23, 1938",1926-30,"Rev. Burrows was the epigraphist at Ur from 1926-1930. He was a Jesuit priest who is said to have dressed on the dig very much as he did back in England, though photos of Woolley and others show that it was typical to wear jacket and tie even in the field. Contrary to his predecessor, Leon Legrain, Burrows is said to have had few social graces and Woolley commented that he was ""a man of very little stamina."" This was in reference to an illness Burrows suffered in his first year at Ur, eventually diagnosed as ""dysentery and malaria."" He had a high fever and had to be removed to hospital at Basra. He recovered and returned to Ur for every season up to 1930, so perhaps he had stamina after all.

Burrows studied Assyriology at Felstead and Keble College in Oxford and specialized in cuneiform epigraphy. He assisted with the official publications of many of the cuneiform tablets from Ur, including the archaic texts. He died relatively young, in a car accident in 1938."
F. G. Newton,http://www.ur-online.org/personorg/29/,,F. G. Newton,Architect,,,1922-1924,Responsible for the original ground plan of the Ziggurat and the detailed elevations of its existing ruins
Frederic George Kenyon,http://www.ur-online.org/personorg/14/,,Frederic George Kenyon,Director (British Museum),15 January 1863,23 August 1952,1909-1931,"Kenyon was a classical and biblical scholar, an expert in ancient languages, who began working at the British Museum in 1889 in the department of manuscripts. He wrote and edited many books on classics and language. He was knighted in 1912 and was president of the British Academy from 1917-1921.

Kenyon became director of the British Museum in 1909 and held the post until 1931. He was instrumental in establishing the excavations at Ur. He and Penn Museum Director George Gordon discussed the possibility as early as 1919 and Kenyon suggested Woolley as director of excavations.; British paleographer and biblical and classical scholar who from 1889-1931 occupied a series of posts at the British Museum, including principal libararian and Director; President and secretary of the British Academy (1917-1921); president of the British School of Archaeology in Jerusalem (appointed in 1920)"
Frederick Leopold William Richardson,http://www.ur-online.org/personorg/43/,10: 1931-1932,Frederick Leopold William Richardson,Assistant,,,1931-32,Surveyed site during tenth expedition
G. M. FitzGerald,http://www.ur-online.org/personorg/53/,02: 1923-1924,G. M. FitzGerald,Supervisor,1883,,1923-24,Worked alongside Gadd in supervising the clearing of excavation sites
George Byron Gordon,http://www.ur-online.org/personorg/19/,10: 1931-1932,George Byron Gordon,Director (University of Pennsylvania Museum),"August 4, 1870","January 30, 1927",1910-1927,"Born in Canada, Gordon studied archaeology at Harvard and went on expeditions to Honduras. He directed excavations at Copan in a few of the seasons and later led ethnographic expeditions to Alaska. In 1903 Gordon became curator of General Ethnology at the University of Pennsylvania Museum (then called the Free Museum of Art and Science) and in the next year he became curator of American Archaeology. He rose to the position of director in 1910 and began the Museum Journal. He organized the Ur excavations in conjunction with British Museum director, Sir Frederic Kenyon, from 1919-1922. Unfortunately he did not see the end of the Ur excavations, nor even the discovery of the Royal Cemetery, as he died in an accident early in 1927.; American archaeologist who supervised additions to collections from Mesopotamia, Palestine, Egypt, and the Continental Americas at the University Museum"
George Francis Hill,http://www.ur-online.org/personorg/28/,,George Francis Hill,Director (British Museum),1867,1948,1931-1936,"Director and Principal Librarian of the British Museum.  Specialist in Renaissance medals.; The son of a missionary, Hill was born in India. He became a numismatist and archaeologist and joined the British Museum in 1893 in the coins and medals department. He wrote many numismatic catalogues and rose to the post of director in 1931. He held the position until 1936 and thus oversaw the end of the Ur excavations. He was knighted in 1933."
Gertrude Lowthian  Bell,http://www.ur-online.org/personorg/21/,,Gertrude Lowthian  Bell,"Hon. Director of Antiquities, Baghdad",14 July 1868,12 July 1926,1921-1926,"Traveled in Middle East.  Played a major role in establishing and helping administer the modern state of Iraq.  As Director of Antiquities, she was in charge of division of finds.; Founded the Iraq Museum in Baghdad and developed Iraq's first antiquities law which permitted the Ur excavations"
Henry Reginald Holland Hall,http://www.ur-online.org/personorg/20/,,Henry Reginald Holland Hall,"Director of excavations at Tell el'Ubaid and parts of Ur; Keeper of Egyptian and Assyrian Antiquities, British Museum",30 September 1873,13 October 1930,1919-Tell el-Ubaid and Ur                 1924-1930 Keeper of Antiquities,"Worked at Deir el-Bahri, Egypt 1903-1907, Abydos in 1910 and 1925, Helped organize expeditions to Nineveh and Upper Egypt.  Early director of Ur and Ubaid excavations; English Egyptologist and historian who participated in excavations of Deir el-Bahri and Abydos and organized digs at Nineveh and Mesopotamia"
Howard Horace Jayne,http://www.ur-online.org/personorg/26/,,Howard Horace Jayne,Director (University of Pennsylvania Museum),1898,1975,1929-1940,First curator of Chinese art at Philadephia Museum of Art; Successor to the late Gordon
Ibrahim ibn Hamoudi,http://www.ur-online.org/personorg/37/,05: 1926-1927; 06: 1927-1928; 07: 1928-1929; 08: 1929-1930; 09: 1930-1931; 10: 1931-1932,Ibrahim ibn Hamoudi,Photographer and Foreman,,,1927-32,Hamoudi's son
Iraqi Workers,http://www.ur-online.org/personorg/57/,01: 1922-1923; 02: 1923-1924; 03: 1924-1925; 04: 1925-1926; 05: 1926-1927; 06: 1927-1928; 07: 1928-1929; 08: 1929-1930; 09: 1930-1931; 10: 1931-1932; 11: 1932-1933; 12: 1933-1934,Iraqi Workers,The Iraqi workers were the main workforce for Woolley.  He ranged from hiring 100-250 workers per season. .,,,,
J. Linnell,http://www.ur-online.org/personorg/34/,03: 1924-1925,J. Linnell,Assistant,,,1924-25,"Assisted on the general archaeological side and kept the card index of objects, worked on the Ziggurat"
Jane M. McHugh,http://www.ur-online.org/personorg/25/,,Jane M. McHugh,"Assistant to George Gordon; Acting Director, University of Pennsylvania Museum;
Assistant to Horace Jayne,",,,1922-1936,"Secretary and Assistant Treasurer of the University of Pennsylvania Museum; Originally secretary to Penn Museum director George Gordon, McHugh was an important, if often overlooked, figure in the organization and administration of the museum. More than simply keeping Gordon's schedule, she organized most of the administrative needs of the museum. The importance of her role can be seen in the number of letters in the directorial files that are addressed to and sent by her. In her official status she often corresponded with Woolley at Ur. So well did she know the museum and its business that she became Acting Director on Gordon's death early in 1927, serving in this capacity until 1929 when Horace Jayne was named Gordon's official successor. These years were at the height of the Ur excavation seeing the discovery of and intense work in the Royal Cemetery itself. Leon Legrain wrote directly to McHugh concerning the division of finds with London and Woolley often addressed her directly.
After her stint as Acting Director, she again became assistant and secretary to the newly appointed full director and continued to manage much of the museum at least until 1936."
John Cruikshank Rose,http://www.ur-online.org/personorg/40/,09: 1930-1931; 10: 1931-1932,John Cruikshank Rose,Architect,,,1930-31,"Excavated Tell Arpachiyah in Nineveh alongside Mallowan, worked out the plans and sections of the grave-shafts and the top of the Ziggurat"
Julius Jordan,http://www.ur-online.org/personorg/27/,,Julius Jordan,"Hon. Director of Antiquities, Baghdad",1877,1945,1931-1934,"Served as Honorary Director of Antiquities in Iraq from 1931-1934. A German, he was the first non-British Director in the new nation of Iraq. He was also the director of the German excavations at Warka, creating a conflict of interest as far as divisions of finds were concerned. In his position as Director of Antiquities he should keep the best for Iraq, but as director of excavations, he would keep the best for the excavation. Nevertheless, when the first Iraqi Director of Antiquities, Sati al-Husri, took over in 1934, he maintained Jordan as his adviser, replacing him with Seton Lloyd in 1939 (notably the year when Hitler invaded Poland). Jordan was aligned with the National Socialist party and assisted in the 1941 Nazi-led insurrection against the Iraqi government, known as the Rashid Ali Al-Gaylani coup or the Golden Square coup."
Katharine Elizabeth (Menke) (Keeling) Woolley,http://www.ur-online.org/personorg/13/,04: 1925-1926; 05: 1926-1927; 06: 1927-1928; 07: 1928-1929; 08: 1929-1930; 09: 1930-1931; 10: 1931-1932; 11: 1932-1933; 12: 1933-1934,Katharine Elizabeth (Menke) (Keeling) Woolley,Artist/Assistant,June 1888,8 November 1945,1925-27/1928-29/1930-34,"Born to German parents in England, Katharine Menke studied history at Somerville College. She did not complete a degree due to health problems, and her health continued to give her trouble throughout her life. In fact, there are many indications that she suffered from a condition known as complete androgen insensitivity syndrome, though her life is somewhat mysterious as she had all of her papers burned on her death. She married Colonel Bertram Keeling in 1919, but he died later that same year.

The widowed Mrs. Keeling joined Woolley's excavation at Ur as an artist in 1925. A young single woman on the dig stirred controversy; particularly among the Trustees at Penn. Woolley solved the problem by marrying her in 1927. Most descriptions of her say she was charming but also rather cold and manipulative. Nevertheless, she was a talented artist and very capable as an archaeologist. She came to be the primary assistant to Woolley's excavations in the final Ur excavation years, after Mallowan left in 1931.

Agatha Christie is said to have styled the murder victim in her book Murder in Mesopotamia after Katharine Woolley.; Katharine Menke was born in Birmingham to German parents. Her father, Carl Menke, was a well-to-do general merchant who later became the German and Swiss Consul in Birmingham. Katharine attended a grammar school in Birmingham and then went up to Somerville College, Oxford, to read Modern History, but ill health forced her to leave before she had taken her degree. Despite difficulties with her German parentage, she joined the Red Cross in 1915 and was shortly posted to Alexandria where she worked in one of the large field hospitals. At the end of the First World War, she went to Poland to a former concentration camp housing some 7000 Bolshevik troops being detained in terrible conditions. Menke returned to London in 1919 when she met her first husband, Bertram Francis Eardley Keeling OBE, MC, RE. They married in March 1919. In September 1919, shortly after their arrival in Cairo where Keeling was Director-General of the Survey of Egypt and President of the Cotton Research Board, her husband committed suicide. 

Katharine Keeling travelled to Baghdad in 1924 with a letter of introduction to Gertrude Bell. She was staying with Lt.Col. J.R. Tainsh, Director of the Iraq State Railways, and his wife. They had taken Katharine to see the excavations at Ur, where she impressed Leonard Woolley with her ability to draw accurately some of the objects emerging from the excavations. Mainly because of this, but also because Woolley had succumbed to her undoubted charm of manner and appearance, he invited her to make a long stay during 1925, and then offered her a post as volunteer at Ur. Her official period as artist to the expedition began in the spring of 1926 when Mallowan helped extend the expedition house at Ur to include a bathroom for her use. The first mention of a payment to K.K. for £51.172.3d appears on the accounts at the end of the 1925/1926 season. She continued until the excavations closed in 1934. 

Katharine married Woolley in April 1927, mainly because Byron Gordon, the Director of the University of Pennsylvania Museum at Philadelphia insisted that a situation in which a single woman was living in the expedition house with single men was untenable. A letter from Woolley to a legal representative in 1928 makes it clear that the marriage remained unconsummated but its threat to seek divorce from Katharine was never implemented. The Woolleys remained married and there is no doubt that Katharines contributions to Woolleys excavations greatly enhanced his career. 

During the Second World War, Woolley worked closely with Winston Churchill and the Military Intelligence Directorate to monitor Nazi looting of European museums, art collections and royal archives. In this work, Katharine supplied invaluable assistance. Churchill had the Woolleys moved to the Dorchester Hotel in Park Lane in October 1943, and it was there, in November 1945 that Katharine died. Her death certificate put multiple sclerosis (from which she had suffered for over a decade) as the cause of her death."
Khalil of Jerablus,http://www.ur-online.org/personorg/31/,02: 1923-1924; 03: 1924-1925,Khalil of Jerablus,Foreman,,,1923-1925,
Leon Legrain,http://www.ur-online.org/personorg/16/,03: 1924-1925; 04: 1925-1926,Leon Legrain,Epigrapher,1878,1963,1924-26,"Father Legrain was born in France, ordained as a priest there in 1904, and studied at the Catholic University of Lille and at the Collegium Appolinare in Rome. Assyriology professor at the Catholic Institute in Paris until WWI, he was then an interpreter in the war. He became curator of the Babylonian Section of the University of Pennsylvania Museum in 1920 and retired in 1952. A specialist in cuneiform, he was the epigraphist at Ur during the 1924-25 and 1925-26 field seasons. He published widely on texts and engraved seals, both in his time before the Penn Museum and after. He published seals and sealings from Ur (Ur Excavations volume 10), some of the tablets (Ur Excavations Texts volume 3) and was slated to publish a volume on the figurines from the site. His research and even an unpublished catalogue for this volume are in archives at the Penn Museum and now available on this website.

Even after his two years at the site of Ur, Legrain played an integral role in the excavations. Not only did he research, publish, and display artifacts in the Penn Museum, but he was also the Museum's representative in the division of objects from Ur conducted almost every year in London. Legrain's letters about this process are very interesting, often in a more personal tone than Woolley's. In fact, many of his colleagues declared that Legrain was particularly entertaining and jovial, if cynical. His photographs at Ur are some of the only images we have of daily life, with many pictures of local Iraqis."
Mary Louise Baker,http://www.ur-online.org/personorg/56/,,Mary Louise Baker,Artist,1872,1962,1932-1934,,"Artist who studied at the School of Industrial Arts in Philadelphia and then the Pennsylvania Academy of Fine Arts. Early in her studies she was selected to illustrate archaeologist Clarence B. Moore's book on the Indians of the American Southwest and from that point she became interested in all things archaeological. Her illustrations were superb and she was invited to become staff artist at the University of Pennsylvania Museum in 1906.

As staff artist at the Penn Museum, Baker illustrated countless artifacts from excavations around the world. Some of her best known work is of Mayan pottery and she toured many museums and archaeological sites to make these illustrations. She also created many drawings and watercolors of artifacts from the excavations at Ur. She traveled to Iraq to paint objects at the site and in the Iraq Museum in 1932 and 1933. She spent part of this time in Baghdad and part of it at Ur itself.

Despite some disagreements on the illustration of Puabi's headdress in 1934, Baker and Woolley appear to have gotten along very well and they continued in personal correspondence up until his death in 1960."
Max Edgar Lucien Mallowan,http://www.ur-online.org/personorg/11/,04: 1925-1926; 05: 1926-1927; 06: 1927-1928; 07: 1928-1929; 08: 1929-1930; 09: 1930-1931,Max Edgar Lucien Mallowan,General Assistant,6 May 1904,19 August 1978,1925-1931,"Apprentice to Woolley during the Ur excavations, going on to excavate at Nineveh and direct excavations at Tell Arpachiyah, and the sites of Chagar Bazar and Tell Brak in Syria.; Studied Classics at Oxford University and became general assistant to Leonard Woolley at Ur in 1925, having no prior field experience. He spent six seasons at Ur, gaining increasing knowledge of the field. In 1931 he left Ur to work with Reginald Campbell Thompson in northern Iraq and quickly moved on to head his own excavations in Syria at Tell Arpachiyah, Chagar Bazar, and then Tell Brak. Despite his many contributions to the field of archaeology, he is perhaps best known for having married the famous mystery writer, Agatha Christie, becoming her second husband in 1930.

Mallowan was knighted in 1968 for his contributions to archaeology. He wrote many books and articles in his lifetime, including portions of the Ur Excavation series. He became professor of archaeology at London University in 1947 and died in 1978.; Max Mallowan was engaged as junior field archaeologist at Ur by Leonard Woolley between 1925 and 1931. He had just graduated from Oxford with a degree in Classical Greats but with no idea of a future career. A chance encounter led to his interview with Woolley at the British Museum, and his subsequent appointment. 

Ever careful not to squander funds, Woolley organised a free passage for his young assistant as a seaman on an oil tanker sailing from London to Port Said. At Beirut, Mallowan met Algy Whitburn and the two travelled together overland to Ur Junction where they met Woolley at the somewhat sparse expedition house. Woolley made it abundantly clear that they were there to work and he himself set a punishing schedule. The young men were expected to be on site half an hour after sunrise and to work until well after dinner writing up the days finds. 

Mallowan was lucky to have Woolley as his mentor. Not only did he instruct Mallowan in the rudiments of archaeology, but he also impressed upon him the importance of keeping precise daily field notes of all work going on, and also the necessity to publish that work, and especially any particularly interesting finds in order to inspire future sponsors. Woolley also insisted that Mallowan learn Arabic so that he could communicate with the workforce, which numbered between 200 and 250 men. That first season, Mallowan also kept the pay book, acted as untrained medical assistant, showed visitors round the site, and helped to build a new wing on to the expedition house. This extension was for the benefit of Katharine Keeling, an unpaid volunteer whom Woolley had engaged to do all the drawing of objects found on the site, and to whom Woolley was singularly attached. 

Mallowan resigned from his role at Ur after his marriage to Agatha Christie in 1930, because Katharine Woolley (she had married Woolley in 1927) insisted that there was room for only one woman at Ur. After Ur, Mallowan dug for one season at Nineveh with Reginald Campbell-Thompson, and thereafter conducted his own digs. In the years leading up to the Second World War, he excavated at Arpachiyah, Chagar Bazar and Tell Brak, as well as conducting a survey of the Khabur Valley. After the War, as Professor of Western Asiatic Archaeology at the Institute of Archaeology, he excavated at Nimrud (19491957) before handing over to David Oates. After Agatha Christies death in 1976 he remarried Barbara Parker, his epigraphist at Nimrud.",
P.J. Railton,http://www.ur-online.org/personorg/39/,09: 1930-1931,P.J. Railton,Junior Assistant,,,1930-1931,Worked on the Ziggurat,
Paul Reeves Howard Hunter,http://www.ur-online.org/personorg/50/,,Paul Reeves Howard Hunter,,"March 4, 1895",,1922*,"Sent by the University Museum to join Woolley's team in Iraq, but succumbed to a mysterious illness and violent behavior in Britain so that he was returned to the U.S without participating in the dig",
Peter D. Murray Thriepland,http://www.ur-online.org/personorg/44/,11: 1932-1933,Peter D. Murray Thriepland,Assistant,,,1932-33,,
R. W. Bullard,http://www.ur-online.org/personorg/54/,,R. W. Bullard,,,,,Colonial Office of the Middle East Department,
R.P. Ross-Williamson,http://www.ur-online.org/personorg/42/,10: 1931-1932,R.P. Ross-Williamson,Foreman? and Assistant,,,1931-32,"Assisted in recordings, worked on the Ziggurat",
Richard S. Cooke,http://www.ur-online.org/personorg/22/,,Richard S. Cooke,"Hon. Director of Antiquities, Baghdad",,,1926-1928,"Though not an archaeologist, Cooke was a prominent Briton in Iraq and he was made Honorary Director of Antiquities after Gertrude Bell's death. He served in this office from 1926-1928.
Suspected of involvement in antiquities smuggling, Cooke was implicated in a scandal involving missing objects from Ur that had been allocated to the Iraq Museum. In 1930, he was caught in the smuggling activity when a truck driver he had commissioned was stopped at the Syrian border. The consignment of goods Cooke had given the driver included the head of a Gudea statue, bronze weapons, figurines, and cylinder seals. Cooke had no export permit. He was tried and made no defense other than being a poor man. He was expelled from Iraq three days later. As a result of this scandal, Iraqis pushed for more local education about their ancient past and moved toward a new antiquities law, finally enacted in 1936.",
